name	value	family	file_offset
FNO_ms_mot_accpt_ow	200	FNO_	0x80E780
FNO_all_item_egg_kaeru	201	FNO_	0x80E7A4
FNO_mes_skip_disable_set	202	FNO_	0x80E7C8
FNO_akichi_vivian_chk	203	FNO_	0x80E7EC
FNO_event_fountain_chk	204	FNO_	0x80E810
FNO_to_camera_zero_00	205	FNO_	0x80E834
FNO_present_flower_set	206	FNO_	0x80E858
FNO_town_sd_se_load_init	207	FNO_	0x80E87C
FNO_door_open_demo_set_sub	208	FNO_	0x80E8A0
FNO_tcame_return_plus	209	FNO_	0x80E8C4
FNO_tcame_chase_tgt_reset	210	FNO_	0x80E8E8
FNO_serch_item_plown	211	FNO_	0x80E90C
mamonogoya_setfg00	212	mamonogoya_	0x80E930
mamonogoya_setfg01	32770	mamonogoya_	0x80E954
mamonogoya_setfg02	32771	mamonogoya_	0x80E978
mamonogoya_setfg03	32772	mamonogoya_	0x80E99C
mamonogoya_setfg04	32773	mamonogoya_	0x80E9C0
mamonogoya_setfg05	32774	mamonogoya_	0x80E9E4
mamonogoya_setfg06	32775	mamonogoya_	0x80EA08
mamonogoya_setfg07	32776	mamonogoya_	0x80EA2C
mamonogoya_setfg08	32777	mamonogoya_	0x80EA50
mamonogoya_setfg09	32778	mamonogoya_	0x80EA74
mamonogoya_setfg10	32779	mamonogoya_	0x80EA98
mamonogoya_setfg11	32780	mamonogoya_	0x80EABC
mamonogoya_setfg12	32781	mamonogoya_	0x80EAE0
mamonogoya_setfg13	32782	mamonogoya_	0x80EB04
mamonogoya_setfg14	32783	mamonogoya_	0x80EB28
mamonogoya_setfg15	32784	mamonogoya_	0x80EB4C
mamonogoya_setfg16	32785	mamonogoya_	0x80EB70
mamonogoya_setfg17	32786	mamonogoya_	0x80EB94
mamonogoya_setfg18	32787	mamonogoya_	0x80EBB8
mamonogoya_setfg19	32788	mamonogoya_	0x80EBDC
mamonogoya_setfg20	32789	mamonogoya_	0x80EC00
mamonogoya_setfg21	32790	mamonogoya_	0x80EC24
mamonogoya_setfg22	32791	mamonogoya_	0x80EC48
mamonogoya_setfg23	32792	mamonogoya_	0x80EC6C
mamonogoya_setfg24	32793	mamonogoya_	0x80EC90
mamonogoya_setfg25	32794	mamonogoya_	0x80ECB4
mamonogoya_setfg26	32795	mamonogoya_	0x80ECD8
mamonogoya_setfg27	32796	mamonogoya_	0x80ECFC
mamonogoya_setfg28	32797	mamonogoya_	0x80ED20
mamonogoya_setfg29	32798	mamonogoya_	0x80ED44
mamonogoya_setfg30	32799	mamonogoya_	0x80ED68
mamonogoya_setfg31	32800	mamonogoya_	0x80ED8C
mamonogoya_setfg32	32801	mamonogoya_	0x80EDB0
mamonogoya_setfg33	32802	mamonogoya_	0x80EDD4
mamonogoya_setfg34	32803	mamonogoya_	0x80EDF8
mamonogoya_setfg35	32804	mamonogoya_	0x80EE1C
mamonogoya_setfg36	32805	mamonogoya_	0x80EE40
mamonogoya_setfg37	32806	mamonogoya_	0x80EE64
mamonogoya_setfg38	32807	mamonogoya_	0x80EE88
mamonogoya_setfg39	32808	mamonogoya_	0x80EEAC
mamonogoya_setfg40	32809	mamonogoya_	0x80EED0
mamonogoya_setfg41	32810	mamonogoya_	0x80EEF4
mamonogoya_setfg42	32811	mamonogoya_	0x80EF18
mamonogoya_setfg43	32812	mamonogoya_	0x80EF3C
mamonogoya_setfg44	32813	mamonogoya_	0x80EF60
mamonogoya_setfg45	32814	mamonogoya_	0x80EF84
mamonogoya_setfg46	32815	mamonogoya_	0x80EFA8
mamonogoya_setfg47	32816	mamonogoya_	0x80EFCC
mamonogoya_setfg48	32817	mamonogoya_	0x80EFF0
mamonogoya_setfg49	32818	mamonogoya_	0x80F014
mamonogoya_setfg50	32819	mamonogoya_	0x80F038
mamonogoya_setfg51	32820	mamonogoya_	0x80F05C
mamonogoya_setfg52	32821	mamonogoya_	0x80F080
mamonogoya_setfg53	32822	mamonogoya_	0x80F0A4
mamonogoya_setfg54	32823	mamonogoya_	0x80F0C8
mamonogoya_setfg55	32824	mamonogoya_	0x80F0EC
mamonogoya_setfg56	32825	mamonogoya_	0x80F110
mamonogoya_setfg57	32826	mamonogoya_	0x80F134
mamonogoya_setfg58	32827	mamonogoya_	0x80F158
mamonogoya_setfg59	32828	mamonogoya_	0x80F17C
mamonogoya_setfg60	32829	mamonogoya_	0x80F1A0
mamonogoya_setfg61	32830	mamonogoya_	0x80F1C4
mamonogoya_setfg62	32831	mamonogoya_	0x80F1E8
mamonogoya_setfg63	32832	mamonogoya_	0x80F20C
mamonogoya_stat_00	32833	mamonogoya_	0x80F230
mamonogoya_stat_01	32834	mamonogoya_	0x80F254
