# maspsx behaviour	dependent row
_maybe_unfill_return_delay	dungeon/func_812B87A4
_maybe_unfill_return_delay	dungeon/func_812BE7A4
_maybe_unfill_return_delay	dungeon/func_812C47A4
_maybe_unfill_return_delay	dungeon/func_812CA7A4
_maybe_unfill_return_delay	dungeon/func_813231FC
_maybe_unfill_return_delay	dungeon/func_81323F78
_maybe_unfill_return_delay	dungeon/func_813274E4
_maybe_unfill_return_delay	dungeon/func_813284E4
_maybe_unfill_return_delay	dungeon/func_8133336C
_maybe_unfill_return_delay	dungeon/func_81335190
_maybe_unfill_return_delay	dungeon/func_81337998
_maybe_unfill_return_delay	dungeon/func_8180F208
_maybe_unfill_return_delay	dungeon/func_81875B38
_maybe_unfill_return_delay	dungeon/func_8187A9A8
_maybe_unfill_return_delay	dungeon/func_81881F60
_maybe_unfill_return_delay	dungeon/func_818AAE60
_maybe_unfill_return_delay	dungeon/func_818E6800
_maybe_unfill_return_delay	dungeon/func_818FF5B8
_maybe_unfill_return_delay	dungeon/func_81910A9C
_maybe_unfill_return_delay	dungeon/func_81911BF4
_maybe_unfill_return_delay	dungeon/func_81934928
_maybe_unfill_return_delay	dungeon/func_8197C800
_maybe_unfill_return_delay	dungeon/func_81983138
_maybe_unfill_return_delay	dungeon/func_819AE378
_maybe_unfill_return_delay	main/func_8000E68C
_maybe_unfill_return_delay	main/func_8000F524
_maybe_unfill_return_delay	main/func_8000FCD8
_maybe_unfill_return_delay	main/func_80013128
_maybe_unfill_return_delay	main/func_8001EB98
_maybe_unfill_return_delay	ovmovie/func_80040360
_maybe_unfill_return_delay	slus/konami_runtime_w_80033D54
_maybe_unfill_return_delay	town/func_8009A0E4
_maybe_unfill_return_delay	town/func_800B998C
_maybe_unfill_return_delay	town/func_800BAE88
_maybe_unfill_return_delay	town/func_800BEB30
_maybe_unfill_return_delay	town/func_8032E44C
_maybe_unfill_return_delay	town/func_8047E1C0
_maybe_unfill_return_delay	town/func_806D4B9C
_maybe_unfill_return_delay	town/func_80813E14
_maybe_unfill_return_delay	town/func_8081822C
_maybe_unfill_return_delay	town/func_80819B14
_maybe_unfill_return_delay	town/func_8081F8A8
_prefer_lui_over_sll_branch_delay	slus/w_80048224
_prefer_marked_target_arg_setup	town/func_808213CC
_rewrite_tail_call_jal_to_j	town/func_808B8184
_rewrite_tail_call_jal_to_j	town/func_808B85F0
_rewrite_tail_call_jal_to_j	town/func_808BB138
_rotate_marked_store_into_jal_delay	slus/w_800463EC
_split_funcaddr_la	dungeon/func_818D4E68
_unfill_jal_sp_delay	slus/w_8004CAA0
_unfill_via_load_delay	dungeon/func_800C23D8
_unfill_via_load_delay	slus/code7
_unfill_via_load_delay	town/func_800B9B58
_unfill_via_load_delay	town/func_800C738C
_unfill_via_load_delay	town/func_8047E278
_unfill_via_load_delay	town/func_8047E8B4
_unfill_via_load_delay	town/func_808B2D90
